,employee,teacher,student,actor,doctor,dog,cat,horse,bird,fish,star,flower,tree,dirt,vegetable,house,school,factory,station,park,movie,book,music,PC,TV
employee,5.940101664468986,3.471864909232143,3.3564903952582323,2.3870733505681057,3.0516813756841836,1.158178391958448,1.0442487865709267,1.1965930754300027,0.9629001282046659,0.9551600248074983,0.4430035036483604,0.9017274587994994,0.945985452390051,0.7421128261520531,0.8632543336062871,2.291263445098682,2.9309915658244305,2.6424713243860913,1.7922603637178325,1.6594877824119731,2.0561812201541305,2.1157613995798332,2.156261893464787,1.996502858955602,1.9512447286207721
teacher,3.471864909232143,5.940101664468986,5.653308340000904,2.866987863747206,4.2983917364057085,1.5331176006939626,1.523140764685849,1.2811863812231001,1.044444711457148,1.1992051972624023,0.5483569092993568,1.2444319302729512,1.164739439871764,1.0309845946376675,1.1546829235672478,2.531201297281649,5.37675525408604,2.152579700444843,1.8973808141187658,1.7455750533429166,2.6004703876350606,3.0716949137040395,2.518762516966747,2.559743165570354,2.391847076030418
student,3.3564903952582323,5.653308340000904,5.940101664468986,2.7189406676935177,3.958645262597937,1.4963890250149126,1.4580647595086025,1.1857095665977437,1.078193863784156,1.1707709759623315,0.5276284563174336,1.3134906980363956,1.1920961413020135,1.0568730056983338,1.1282463897369805,2.6004432377607296,5.351172636482967,1.9243929597884908,1.8370552825899058,1.7846213991364301,2.467076484194716,2.9992125491508936,2.570798014663632,2.661304416536148,2.453516603274964
actor,2.3870733505681057,2.866987863747206,2.7189406676935177,5.940101664468986,2.615489008892941,1.0845777194327222,1.05210316717992,1.0680676829235485,0.7258285541896405,0.7269172767303864,0.2515761934298839,1.0596710863687129,0.989364134063039,0.8498137170712935,0.6809938362355131,2.0887071102969514,2.4495574079575264,1.1103674368951186,1.2501529720531654,1.4156841593335094,4.544600215237579,2.7877500941444397,3.620524718017532,2.4870841655654363,2.9987633939917617
doctor,3.0516813756841836,4.2983917364057085,3.958645262597937,2.615489008892941,5.940101664468986,1.2089590558587826,1.1006154134187434,0.8852623977567065,0.8945770600710774,0.951942135205334,0.23006263495659596,0.9123034758214773,1.0464559962173472,0.9001092267643345,0.9100411402264893,2.0785467846826347,3.821681785555552,2.0298209934535665,1.7690587847796508,1.7190518805421762,2.202942765814479,2.625280586095818,2.1365951275559514,2.020724722181425,1.8797493586360725
dog,1.158178391958448,1.5331176006939626,1.4963890250149126,1.0845777194327222,1.2089590558587826,5.940101664468986,5.940101664468986,3.929003325499801,3.343901939706851,2.198001459278012,1.2650811694900135,2.8920852245978494,2.8534620461601934,2.751493145498957,2.720571314762098,1.604164140291984,1.3752976931218386,0.8119509819842272,1.422281026598084,2.1949701771219754,0.618378067305845,0.8948265551931911,0.6057429433793176,0.725252425386591,0.725768880028557
cat,1.0442487865709267,1.523140764685849,1.4580647595086025,1.05210316717992,1.1006154134187434,5.940101664468986,5.940101664468986,3.9179519732933814,3.366883763941585,2.171410268136488,1.2919236308784603,2.800733652852919,2.8185311714302888,2.7448999792245456,2.663623459131103,1.5590704316878248,1.349280285617578,0.849136668882228,1.4451391535523417,2.0480207136939965,0.5721518563014143,0.8914027753631201,0.5320491270768899,0.6203563169450974,0.675480049122163
horse,1.1965930754300027,1.2811863812231001,1.1857095665977437,1.0680676829235485,0.8852623977567065,3.929003325499801,3.9179519732933814,5.940101664468986,3.0992015097979024,2.472116210175173,1.5654531522599326,2.4747469031251708,2.4307069496289175,2.284370700005427,2.083679743852201,1.1058965134344096,1.106531866829852,0.8343340348342976,1.6336861038094312,1.668579090243686,0.6739064972886569,0.8002900386645905,0.5235715821140265,0.5295841273732922,0.5046713345277218
bird,0.9629001282046659,1.044444711457148,1.078193863784156,0.7258285541896405,0.8945770600710774,3.343901939706851,3.366883763941585,3.0992015097979024,5.940101664468986,3.256421934299707,2.5648773787833443,2.7339339774178635,3.0659286212787835,2.754486976402057,2.394044696095201,0.8413451694871139,0.925139793563813,0.6579573039392027,1.210750243950913,1.7102574809442104,0.4361143814352253,0.560721704537773,0.4415434044920279,0.5237802275452732,0.4286528540631729
fish,0.9551600248074983,1.1992051972624023,1.1707709759623315,0.7269172767303864,0.951942135205334,2.198001459278012,2.171410268136488,2.472116210175173,3.256421934299707,5.940101664468986,1.666462797547405,2.5319203927048792,2.4707194294201154,2.7097111011546664,2.2942609975789607,0.8526704428773947,1.0731528286766048,0.8759491192745411,1.1283406911275597,1.4848794058233146,0.34283841126323167,0.7238406158798621,0.38766511589062413,0.5076574698687013,0.4385940235401329
