,employee,teacher,student,actor,doctor,dog,cat,horse,bird,fish,star,flower,tree,dirt,vegetable,house,school,factory,station,park,movie,book,music,PC,TV
employee,0.043048159306116225,0.015965325820919654,0.01901245661468645,0.00824093694699906,0.029364482918884563,0.012091155433330922,0.011285854487083233,0.019833860142961814,0.007997543771698583,0.013539861587768084,0.003537689093271866,0.011752879607273142,0.0026011402677743253,0.01106415537766664,0.012662871038477498,0.012935543770201369,0.018504777999167752,0.025566612083025724,0.014743976261783118,0.013985023613912021,0.018524026036773254,0.018327142361129117,0.016025080627727253,0.022161745229037227,0.010251331147965732
teacher,0.015965325820919654,0.043048159306116225,0.03975220825584333,0.021791956755657916,0.024147075358550953,0.02739231949526332,0.02873044455977556,0.023185344995885673,0.012057943878422173,0.01813348238602859,0.008954992758988485,0.018528521199797032,0.009425992760078009,0.01693404769172029,0.018386262274103744,0.024837871776336274,0.04010120757547479,0.0158155010699459,0.01675841022745591,0.01814874448808986,0.01969648677101581,0.023836601548281388,0.020363941258068726,0.02583706482183388,0.023343145976990484
student,0.01901245661468645,0.03975220825584333,0.043048159306116225,0.020402908663998194,0.026851201225495835,0.027103760986688288,0.028376033344440013,0.023056998155701912,0.013742795365579742,0.018335994136106665,0.01062926615278973,0.01940934481160156,0.011870056364634972,0.017799611589380253,0.01871550108659162,0.02427200253705718,0.04046808476687823,0.018084537683259398,0.016781642345612014,0.019282603191285812,0.019989688806294953,0.027442736824143082,0.022900210387593486,0.026644111133471364,0.023108321950224386
actor,0.00824093694699906,0.021791956755657916,0.020402908663998194,0.043048159306116225,0.014527311348107808,0.020377061502976166,0.022093717489127623,0.020995810660496692,0.007761238285770938,0.011950854745590715,0.0045332317845682354,0.013544849733497864,0.006976578622344826,0.009129150361579227,0.011618813104323805,0.030561238913820732,0.02230861270296135,0.005695858499023397,0.021314289706698204,0.011724249193821853,0.0269092297687919,0.019899758553892578,0.02096961226276723,0.022558172093943996,0.03904765726797584
doctor,0.029364482918884563,0.024147075358550953,0.026851201225495835,0.014527311348107808,0.043048159306116225,0.021111158458571568,0.02078461117143297,0.019008126655875108,0.009378076181510854,0.01624025594636742,0.0053592874678322355,0.012481443965123618,0.01129029610542532,0.010950635499998862,0.01172934067759468,0.01899043764808954,0.02576994991468949,0.019392870667646844,0.02103594690387844,0.015389867254123765,0.011563396313709201,0.025276793965378005,0.013376790326718915,0.022246348024707784,0.017055208060822433
dog,0.012091155433330922,0.02739231949526332,0.027103760986688288,0.020377061502976166,0.021111158458571568,0.043048159306116225,0.0409182274675327,0.036374108422541504,0.020245902778580453,0.02448314558631017,0.01701867019329213,0.028371532128941723,0.0265371757646709,0.025936001945446284,0.026138209346834897,0.02835859978954118,0.02812962218710261,0.008977320710751323,0.024704134919878214,0.029658466619307034,0.021448432365628146,0.026550439131497284,0.022165170771263915,0.024242653436687224,0.023857846185709214
cat,0.011285854487083233,0.02873044455977556,0.028376033344440013,0.022093717489127623,0.02078461117143297,0.0409182274675327,0.043048159306116225,0.03608754494216536,0.019799133402449723,0.023432530193685356,0.017076937492297675,0.027152170747964426,0.025121020273857705,0.02455787629671824,0.02494786973799141,0.029150492992679085,0.02945770927405448,0.008310631197977716,0.020977688211140825,0.028440764157401252,0.022080768294194517,0.024263560059728604,0.024237502022870984,0.020754854833891785,0.025568722726682334
horse,0.019833860142961814,0.023185344995885673,0.023056998155701912,0.020995810660496692,0.019008126655875108,0.036374108422541504,0.03608754494216536,0.043048159306116225,0.02042954629838289,0.025776493932311323,0.016458368742095327,0.0326123781193253,0.02538837929853203,0.030646062056851223,0.030410799741919195,0.029653668114282876,0.023576757245418804,0.02089252116029632,0.022308811224223967,0.032708635065723905,0.021143436130707096,0.02514925724886463,0.021607553844957238,0.023053063184272433,0.02385607813915928
bird,0.007997543771698583,0.012057943878422173,0.013742795365579742,0.007761238285770938,0.009378076181510854,0.020245902778580453,0.019799133402449723,0.02042954629838289,0.043048159306116225,0.028208808695557537,0.02103852873744862,0.025418426294065,0.03194773059754271,0.023720210670232028,0.023421748811473606,0.01750895967874562,0.014721360093234777,0.007890097657703293,0.011468008793831412,0.025381783354941755,0.01621044525752628,0.01206650049809941,0.008936388625073198,0.014772255182000912,0.013015279401175854
fish,0.013539861587768084,0.01813348238602859,0.018335994136106665,0.011950854745590715,0.01624025594636742,0.02448314558631017,0.023432530193685356,0.025776493932311323,0.028208808695557537,0.043048159306116225,0.024976618251623735,0.029487618633535717,0.03198042368026172,0.029880234911897202,0.02855183852222381,0.018862987545318545,0.019243068344012654,0.00915863260558656,0.01837242383831573,0.030449252953156966,0.014354705973095239,0.015746789800695413,0.012117301759694832,0.016930932268969853,0.014299845366980507
star,0.003537689093271866,0.008954992758988485,0.01062926615278973,0.0045332317845682354,0.0053592874678322355,0.01701867019329213,0.017076937492297675,0.016458368742095327,0.02103852873744862,0.024976618251623735,0.043048159306116225,0.021160692869788503,0.027204958856627864,0.020405203187666487,0.020134476604199137,0.014117867142165428,0.011784986896193485,0.005094263519797623,0.010071605984436086,0.021641000994103484,0.015508586641463127,0.00855748473876225,0.008137058173949718,0.012516055205878816,0.009228208297979067
flower,0.011752879607273142,0.018528521199797032,0.01940934481160156,0.013544849733497864,0.012481443965123618,0.028371532128941723,0.027152170747964426,0.0326123781193253,0.025418426294065,0.029487618633535717,0.021160692869788503,0.043048159306116225,0.027755011163534148,0.03863525881856141,0.038484314953305426,0.021964667458821276,0.020259031975560407,0.012381141723782883,0.018872978612825234,0.04015818553902739,0.019041522742824953,0.01810698598829789,0.017311865677517822,0.01566245241518136,0.017319582828636652
tree,0.0026011402677743253,0.009425992760078009,0.011870056364634972,0.006976578622344826,0.01129029610542532,0.0265371757646709,0.025121020273857705,0.02538837929853203,0.03194773059754271,0.03198042368026172,0.027204958856627864,0.027755011163534148,0.043048159306116225,0.028213168910054615,0.02563279130867417,0.01794381993577568,0.011961387831788895,0.0,0.014348081077758288,0.029091070351042664,0.012841315493104726,0.01212585545291564,0.0069677347042802484,0.01595941217634449,0.010514043650869102
dirt,0.01106415537766664,0.01693404769172029,0.017799611589380253,0.009129150361579227,0.010950635499998862,0.025936001945446284,0.02455787629671824,0.030646062056851223,0.023720210670232028,0.029880234911897202,0.020405203187666487,0.03863525881856141,0.028213168910054615,0.043048159306116225,0.039431304677503075,0.019022273861253918,0.018817103239953538,0.013577900100744514,0.018295581142708576,0.03904883812082184,0.013469166764333032,0.015709958369600065,0.0134275641488577,0.012574218380831111,0.013264477946815088
vegetable,0.012662871038477498,0.018386262274103744,0.01871550108659162,0.011618813104323805,0.01172934067759468,0.026138209346834897,0.02494786973799141,0.030410799741919195,0.023421748811473606,0.02855183852222381,0.020134476604199137,0.038484314953305426,0.02563279130867417,0.039431304677503075,0.043048159306116225,0.019390008819526124,0.019929160566965615,0.015637451992486767,0.02022983723437608,0.038837481412650955,0.015361995357961969,0.01677923463215346,0.015839008336001152,0.014345240456512528,0.01480927608202445
house,0.012935543770201369,0.024837871776336274,0.02427200253705718,0.030561238913820732,0.01899043764808954,0.02835859978954118,0.029150492992679085,0.029653668114282876,0.01750895967874562,0.018862987545318545,0.014117867142165428,0.021964667458821276,0.01794381993577568,0.019022273861253918,0.019390008819526124,0.043048159306116225,0.026718887146632703,0.012011309648997149,0.024516306485672462,0.02292205178311997,0.03146265087463924,0.0230949877039,0.019977153184636873,0.024667835682539385,0.033862314907323394
school,0.018504777999167752,0.04010120757547479,0.04046808476687823,0.02230861270296135,0.02576994991468949,0.02812962218710261,0.02945770927405448,0.023576757245418804,0.014721360093234777,0.019243068344012654,0.011784986896193485,0.020259031975560407,0.011961387831788895,0.018817103239953538,0.019929160566965615,0.026718887146632703,0.043048159306116225,0.01737594833329637,0.01720893289197737,0.020149216635938074,0.021502387668265684,0.025566468352018763,0.021660017432749642,0.027292659881545164,0.02426631901472215
factory,0.025566612083025724,0.0158155010699459,0.018084537683259398,0.005695858499023397,0.019392870667646844,0.008977320710751323,0.008310631197977716,0.02089252116029632,0.007890097657703293,0.00915863260558656,0.005094263519797623,0.012381141723782883,0.0,0.013577900100744514,0.015637451992486767,0.012011309648997149,0.01737594833329637,0.043048159306116225,0.01438199113071488,0.014080173347906129,0.01760266054203441,0.01721060150075851,0.01512791510362187,0.0224630736654389,0.008031348341989847
station,0.014743976261783118,0.01675841022745591,0.016781642345612014,0.021314289706698204,0.02103594690387844,0.024704134919878214,0.020977688211140825,0.022308811224223967,0.011468008793831412,0.01837242383831573,0.010071605984436086,0.018872978612825234,0.014348081077758288,0.018295581142708576,0.02022983723437608,0.024516306485672462,0.01720893289197737,0.01438199113071488,0.043048159306116225,0.020237622559223272,0.015573219516741753,0.021610582134442398,0.01737469463168623,0.025263385408833928,0.0235846634538001
park,0.013985023613912021,0.01814874448808986,0.019282603191285812,0.011724249193821853,0.015389867254123765,0.029658466619307034,0.028440764157401252,0.032708635065723905,0.025381783354941755,0.030449252953156966,0.021641000994103484,0.04015818553902739,0.029091070351042664,0.03904883812082184,0.038837481412650955,0.02292205178311997,0.020149216635938074,0.014080173347906129,0.020237622559223272,0.043048159306116225,0.014427961703120634,0.017903790021667296,0.012479916186180853,0.01688217811814661,0.015106845031853645
movie,0.018524026036773254,0.01969648677101581,0.019989688806294953,0.0269092297687919,0.011563396313709201,0.021448432365628146,0.022080768294194517,0.021143436130707096,0.01621044525752628,0.014354705973095239,0.015508586641463127,0.019041522742824953,0.012841315493104726,0.013469166764333032,0.015361995357961969,0.03146265087463924,0.021502387668265684,0.01760266054203441,0.015573219516741753,0.014427961703120634,0.043048159306116225,0.01889194705640118,0.01729464152711962,0.01738326257939736,0.03128541872624802
book,0.018327142361129117,0.023836601548281388,0.027442736824143082,0.019899758553892578,0.025276793965378005,0.026550439131497284,0.024263560059728604,0.02514925724886463,0.01206650049809941,0.015746789800695413,0.00855748473876225,0.01810698598829789,0.01212585545291564,0.015709958369600065,0.01677923463215346,0.0230949877039,0.025566468352018763,0.01721060150075851,0.021610582134442398,0.017903790021667296,0.01889194705640118,0.043048159306116225,0.027281773084380644,0.028645979781128615,0.024156562724411444
music,0.016025080627727253,0.020363941258068726,0.022900210387593486,0.02096961226276723,0.013376790326718915,0.022165170771263915,0.024237502022870984,0.021607553844957238,0.008936388625073198,0.012117301759694832,0.008137058173949718,0.017311865677517822,0.0069677347042802484,0.0134275641488577,0.015839008336001152,0.019977153184636873,0.021660017432749642,0.01512791510362187,0.01737469463168623,0.012479916186180853,0.01729464152711962,0.027281773084380644,0.043048159306116225,0.016227619330314302,0.024535554420221827
PC,0.022161745229037227,0.02583706482183388,0.026644111133471364,0.022558172093943996,0.022246348024707784,0.024242653436687224,0.020754854833891785,0.023053063184272433,0.014772255182000912,0.016930932268969853,0.012516055205878816,0.01566245241518136,0.01595941217634449,0.012574218380831111,0.014345240456512528,0.024667835682539385,0.027292659881545164,0.0224630736654389,0.025263385408833928,0.01688217811814661,0.01738326257939736,0.028645979781128615,0.016227619330314302,0.043048159306116225,0.024651278284873478
TV,0.010251331147965732,0.023343145976990484,0.023108321950224386,0.03904765726797584,0.017055208060822433,0.023857846185709214,0.025568722726682334,0.02385607813915928,0.013015279401175854,0.014299845366980507,0.009228208297979067,0.017319582828636652,0.010514043650869102,0.013264477946815088,0.01480927608202445,0.033862314907323394,0.02426631901472215,0.008031348341989847,0.0235846634538001,0.015106845031853645,0.03128541872624802,0.024156562724411444,0.024535554420221827,0.024651278284873478,0.043048159306116225
